Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Transfers from FHI Trust Fund, PCORTF",Mandatory,Offsetting receipts,Patient-Centered Outcomes Research Trust Fund                   ,Patient-Centered Outcomes Research Trust Fund                   ,-61,0,0,0,0,0,0,0,0,0,0
"Transfers from FSMI Trust Fund, PCORTF",Mandatory,Offsetting receipts,Patient-Centered Outcomes Research Trust Fund                   ,Patient-Centered Outcomes Research Trust Fund                   ,-84,0,0,0,0,0,0,0,0,0,0
Salaries and expenses,Discretionary,Nondefense,Department of Agriculture                                       ,Food Safety and Inspection Service,"1,066","1,089","1,133","1,175","1,217","1,260","1,303","1,348","1,393","1,440","1,490"
Salaries and expenses,Discretionary,Nondefense,Department of Labor                                             ,Occupational Safety and Health Administration,551,572,589,606,624,643,662,681,700,721,742
Salaries and expenses,Discretionary,Nondefense,Department of Labor                                             ,Mine Safety and Health Administration,369,384,398,414,428,442,456,470,485,501,517
Salaries and expenses,Discretionary,Nondefense,Consumer Product Safety Commission                              ,Consumer Product Safety Commission                              ,125,128,133,137,142,146,150,155,160,165,170
"Payment to the FDA Innovation Account, CURES Act                ",Mandatory,Other Spending,Department of Health and Human Services                         ,Food and Drug Administration,70,75,70,50,50,50,55,0,0,0,0
Revolving fund for certification and other services,Mandatory,Other Spending,Department of Health and Human Services                         ,Food and Drug Administration,0,0,0,0,0,0,0,0,0,0,0
"FDA Innovation, Cures Act                                       ",Discretionary,Nondefense,Department of Health and Human Services                         ,Food and Drug Administration,0,0,0,0,0,0,0,0,0,0,0
"FDA Innovation, Cures Act                                       ",Mandatory,Other Spending,Department of Health and Human Services                         ,Food and Drug Administration,-70,-75,-70,-50,-50,-50,-55,0,0,0,0
Salaries and expenses,Discretionary,Nondefense,Department of Health and Human Services                         ,Food and Drug Administration,"3,020","3,012","3,109","3,192","3,293","3,397","3,499","3,613","3,721","3,834","3,952"
Salaries and expenses,Mandatory,Other Spending,Department of Health and Human Services                         ,Food and Drug Administration,2,2,2,2,2,2,2,2,2,2,2
FDA crada,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Food and Drug Administration,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Salaries and Expenses                                           ,Discretionary,Nondefense,Federal Mine Safety and Health Review Commission                ,Federal Mine Safety and Health Review Commission                ,17,18,18,19,19,20,21,21,22,23,23
Salaries and Expenses                                           ,Discretionary,Nondefense,Occupational Safety and Health Review Commission                ,Occupational Safety and Health Review Commission                ,13,13,14,14,15,15,16,16,17,18,18
Mandatory sequestration in function 570,Mandatory,Medicare,Allowances                                                      ,Allowances,0,0,0,0,0,0,0,0,0,0,0
Part D premium collections,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,"-5,474","-6,284","-7,077","-7,829","-8,648","-9,498","-10,435","-11,487","-12,639","-13,889","-15,256"
Rcpt of federal contributions to Medicare TFs,Mandatory,Medicare,Department of Health and Human Services                         ,Department of Health and Human Services,"-278,916","-306,904","-334,128","-359,872","-386,785","-415,972","-446,940","-483,009","-524,791","-567,974","-607,008"
"FHI and FSMI, premiums and collections",Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,"-106,072","-114,500","-123,255","-132,986","-143,398","-154,583","-166,563","-179,438","-193,825","-210,294","-225,585"
Federal contribution for part D PDPs,Mandatory,Medicare,Department of Health and Human Services                         ,Department of Health and Human Services,"-83,377","-83,710","-84,707","-85,837","-86,372","-86,385","-87,424","-89,402","-91,890","-94,656","-97,843"
Recoveries from Medicare Providers,Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,"-12,418","-13,065","-13,993","-15,076","-16,231","-17,471","-18,810","-20,192","-21,779","-23,652","-25,695"
"Payments from states, medicare prescription drug account, FSMI",Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,"-11,976","-12,455","-13,165","-13,987","-14,883","-15,853","-16,874","-17,976","-19,180","-20,380","-21,550"
Federal contribution for admin. costs,Mandatory,Medicare,Department of Health and Human Services                         ,Department of Health and Human Services,-547,-583,-604,-639,-673,-708,-745,-781,-817,-855,-893
